127.0.0.1 - - [14/Mar/2022:16:28:12 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [14/Mar/2022:16:28:15 +0530] "GET /JSP_LifeCycle/hello.jsp HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [14/Mar/2022:16:46:44 +0530] "GET /JSP_LifeCycle/hello.jsp HTTP/1.1" 200 192
0:0:0:0:0:0:0:1 - - [14/Mar/2022:16:47:27 +0530] "GET /JSP_LifeCycle/hello.jsp HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [14/Mar/2022:16:49:53 +0530] "GET /JSP_LifeCycle/hello.jsp HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [14/Mar/2022:17:00:02 +0530] "GET /JSP_LifeCycle/hello.jsp HTTP/1.1" 500 3771
0:0:0:0:0:0:0:1 - - [14/Mar/2022:17:01:03 +0530] "GET /JSP_LifeCycle/hello.jsp HTTP/1.1" 500 3771
0:0:0:0:0:0:0:1 - - [14/Mar/2022:17:01:06 +0530] "GET /JSP_LifeCycle/hello.jsp HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [14/Mar/2022:17:01:08 +0530] "GET /JSP_LifeCycle/hello.jsp HTTP/1.1" 500 3771
0:0:0:0:0:0:0:1 - - [14/Mar/2022:17:01:32 +0530] "GET /JSP_LifeCycle/hello.jsp HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [14/Mar/2022:17:03:34 +0530] "GET /JSP_LifeCycle/hello.jsp HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [14/Mar/2022:17:31:52 +0530] "GET /JSP_LifeCycle/demo.jsp HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [14/Mar/2022:17:33:34 +0530] "GET /JSP_LifeCycle/demo.jsp HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [14/Mar/2022:17:37:19 +0530] "GET /JSP_LifeCycle/demo.jsp HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [14/Mar/2022:17:43:17 +0530] "GET /JSP_LifeCycle/demo.jsp HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [14/Mar/2022:17:43:19 +0530] "GET /JSP_LifeCycle/demo.jsp HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [14/Mar/2022:17:46:03 +0530] "GET /JSP_LifeCycle/demo.jsp HTTP/1.1" 200 336
